origin,destination,distance
1,3,116830.471231549
1,5,174565.694575482
1,8,106013.590370818
1,10,105589.326302106
1,11,68845.8430489702
1,14,138788.39260435
1,16,156761.496392314
1,17,154443.242973301
1,18,156761.496392314
1,20,80759.2389463019
1,21,77099.5641710522
1,22,175833.216348115
1,24,85847.3097984673
1,25,159150.039192487
1,28,170272.704105975
1,34,70980.4992338526
1,36,142589.7081661
1,37,174139.485662412
1,38,161255.299399834
1,39,72325.0817058533
1,40,67454.6370297423
1,47,231447.903898148
1,51,235907.307345732
1,53,197578.407253152
1,62,417604.638971756
1,63,427625.607479329
1,64,423966.686205908
1,66,334354.178311575
1,68,367784.085443556
1,69,367455.343677506
1,78,349901.081345074
1,79,325571.207300575
1,85,369503.091344572
1,86,367937.843760323
1,89,39812.804829233
1,90,65187.3865847768
1,100,329793.933262004
1,101,358068.697281026
1,102,358068.697281026
1,103,383657.991543377
1,105,58632.8157299972
1,146,257536.394800918
1,147,273785.946775908
1,149,299907.894306632
1,150,253639.36036757
1,151,280450.957111903
3,1,116830.471231549
3,5,76745.2131437937
3,8,221434.542108122
3,10,221010.27803941
3,11,184266.794786272
3,14,49994.5885770052
3,16,56304.4603045014
3,17,53986.206885489
3,18,56304.4603045014
3,20,196180.190683605
3,21,192520.515908355
3,22,60161.9540627603
3,24,60696.4351508446
3,25,61369.9542875412
3,28,54601.4418206217
3,34,59595.2468677927
3,36,53795.9041387548
3,37,58468.223377058
3,38,65096.1911889647
3,39,57577.6507197423
3,40,156645.363906383
3,47,115776.64161279
3,51,120236.045060375
3,53,99757.925821461
3,62,301933.376686397
3,63,311954.34519397
3,64,308295.423920549
3,66,218682.916026219
3,68,252112.823158201
3,69,251784.08139215
3,78,234229.819059718
3,79,209899.94501522
3,85,253831.829059217
3,86,252266.581474967
3,89,147319.673342336
3,90,174494.129858835
3,100,214122.670976645
3,101,242397.434995667
3,102,242397.434995667
3,103,267986.729258018
3,105,166139.684243101
3,146,141865.132515561
3,147,158114.684490555
3,149,184236.632021273
3,150,137430.936012875
3,151,164242.53275721
5,1,174565.694575482
5,3,76745.2131437937
5,8,279169.765452056
5,10,278745.501383344
5,11,242002.018130205
5,14,39674.3602856297
5,16,29852.6550185993
5,17,27534.4015995869
5,18,29852.6550185993
5,20,253915.414027538
5,21,250255.739252288
5,22,91516.3416342354
5,24,97516.2546096992
5,25,16718.5991081471
5,28,93294.7947216329
5,34,103962.904105628
5,36,43003.5398923797
5,37,97161.5762780691
5,38,13463.1815801478
5,39,102653.511890077
5,40,214380.587250318
5,47,97216.642989905
5,51,101676.04643749
5,53,26615.3417615161
5,62,283373.378063511
5,63,293394.346571083
5,64,289735.425297663
5,66,205724.39639074
5,68,239154.303522722
5,69,238825.561756671
5,78,221271.29942424
5,79,196941.425379741
5,85,240873.309423738
5,86,239308.061839488
5,89,205054.896686269
5,90,232229.353202768
5,100,195562.672353758
5,101,223837.43637278
5,102,223837.43637278
5,103,249426.730635131
5,105,223874.907587035
5,146,123429.835802086
5,147,144967.310473076
5,149,165676.633398386
5,150,145798.651267069
5,151,158225.460851828
8,1,106013.590370818
8,3,221434.542108122
8,5,279169.765452054
8,10,424.264068711929
8,11,37226.3259656111
8,14,243392.463480923
8,16,261365.567268885
8,17,259047.313849872
8,18,261365.567268885
8,20,91786.8163383504
8,21,88127.1415631007
8,22,280437.287224687
8,24,190451.380675039
8,25,263754.110069058
8,28,274876.774982547
8,34,175584.570110423
8,36,247193.779042672
8,37,278743.556538984
8,38,265859.370276406
